instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
16,Daniel Levi,Infime - Live,7sOaHXfvLFEswNoaESSXIQ,6,0.385,0.491,305453.0,0.586,0.00017,D,0.116,-6.994,Minor,0.0382,97.108,4-Apr,0.516,Movie
17,empty_field,Georges Bizet : Que se passe-t-il... Au secours!,2VQc9orzwE6a5qFfy54P6e,0,0.97,0.469,150396.0,0.25,1.39e-06,A,0.283,-18.458,Minor,0.328,102.327,4-Apr,0.252,Movie
18,Chantal Goya,Zig Et Puce,6OqSnsAYYvZ8hwqVnePivW,0,0.744,0.709,173720.0,0.903,0.0,A,0.376,-3.804,Major,0.0559,164.898,4-Apr,0.919,Movie
19,Bruno Pelletier,Règne - Live,2ZSdTS0gLGVYP2MCkREEFA,7,0.52,0.421,207089.221185372,0.524,0.00106,F#,0.977,-8.438,Major,0.0474,75.957,4-Apr,0.289,Movie
20,Dominique Tirmont,A cache-cache,7BUHzLTQKeauFZMdtjxeN2,0,0.892,0.783,128933.0,0.362,0.0,D#,0.106,-8.945,Major,0.0752,110.222,1-Apr,0.662,Movie
21,Irwin Kostal,A Veritable Smorgasbord,1IWupVnYlAog7qWDLJvmfO,22,0.714,0.446,233893.0,0.487,0.0,D,0.315,-8.672,Major,0.216,82.3,4-Apr,0.728,Movie
22,Tony Jay,Out There,4m6OC8u2rC6LMFtFWsME7d,46,0.822,0.287,265693.0,0.184,4.54e-06,D#,0.0779,-18.698,Major,0.0407,?,5-Apr,0.204,Movie
23,Dickie Jones,"Give a Little Whistle - From ""Pinocchio"" / Soundtrack Version",6K9b4pNM6SjYS4IpiVFui7,32,0.894,0.671,96707.0,0.43,0.00254,F,0.369,-11.705,Major,0.212,111.355,4-Apr,0.757,Movie
24,Lorie,L'amour a la plage,7cwPQGHgob1v9pek8WnQRx,5,0.19,0.675,207089.221185372,0.864,2.83e-05,B,0.143,-4.18,Minor,0.0294,132.037,4-Apr,0.961,Movie
25,empty_field,Love - Live,2b4dO5Yq8bZnCfDN9mfg0W,8,0.721,0.507,250107.0,0.372,2.18e-05,E,0.761,-9.296,Minor,0.0381,121.706,4-Apr,0.287,Movie
26,Lorie,Sur un air latino - Live,5gESBLndViskCms5mB9g8X,6,0.0186,0.614,207089.221185372,0.974,1.18e-06,F,0.945,-5.202,Major,0.0586,109.01,4-Apr,0.503,Movie
27,empty_field,"Bouge (B.O. ""Bouge"")",3tiQdnBlEksucRa8i1lcNi,6,0.188,0.723,202800.0,0.917,0.0,C,0.349,-3.07,Minor,0.0336,105.058,4-Apr,0.855,Movie
28,Nikki Blonsky,I Can Hear the Bells,42bhNXY736jhK2rrRVKCS3,52,0.761,0.617,254347.0,0.572,0.0,C,0.0958,-6.436,Major,0.0325,111.972,4-Apr,0.339,Movie
29,Dorothée,Lady Jane,0ADZ5dmXhlfzjMw6lefoPl,0,0.616,0.62,152600.0,0.3,0.0,A#,0.0674,-16.173,Major,0.026,?,3-Apr,0.538,Movie
30,Liz Callaway,"More I Cannot Wish You (From ""Guys and Dolls"")",4hqsg6viSC2UoLKUydMFOO,4,0.832,0.405,204627.0,0.0934,3.8e-06,C,0.139,-19.945,Major,0.0391,81.551,3-Apr,0.533,Movie
31,empty_field,Si je te promets,2QePQ29ix8gC0CbRHcGoBz,32,0.13,0.597,239240.0,0.784,0.0,G#,0.0802,-5.535,Minor,0.0566,120.067,4-Apr,0.672,Movie
32,Francis Lalanne,Reste Avec Moi,49Z9QZkdchKwlM9SVfDwGy,24,0.63,0.592,293267.0,0.554,0.0,A,0.142,-5.15,Minor,0.0306,136.153,4-Apr,0.371,Movie
33,Les Hérissons,Do You Know What It Means?,1LHjG36hbMGEJCB6qs5s83,0,0.973,0.684,326227.0,0.0673,0.138,G,0.174,-17.949,Major,0.0675,71.487,4-Apr,0.31,Movie
34,Chorus,Noduvude Bhagya,4FcOhKK1tPr1QlT181Yzbi,0,0.802,0.671,260822.0,0.302,0.00809,D#,0.136,-17.713,Major,0.0656,99.109,4-Apr,0.678,Movie
35,Julie Andrews,Le Jazz Hot,72janFQZ2qxQOq37rnp8eg,33,0.788,0.412,262533.0,0.404,0.0,A,0.0614,-11.462,Minor,0.426,183.037,4-Apr,0.226,Movie
36,Randy Newman,The Ride Of The Doors,4nkRk3BRQaW941xxtZVBew,22,0.792,0.308,307467.0,0.37,0.935,D,0.262,-12.377,Minor,0.0428,132.522,4-Apr,0.121,Movie
37,Donna Murphy,September Song,1kkyoN3zRGRgQ7DjC5qXAl,20,0.939,0.309,263600.0,0.115,4.07e-05,C,0.162,-14.23,Major,0.0401,72.781,4-Apr,0.0647,Movie
38,empty_field,Kevin's Graduation,5a4flOfoqL5qR0VkQ5aqIh,2,0.944,0.186,157440.0,0.22,0.806,A#,0.162,-14.948,Major,0.036,?,5-Apr,0.0716,Movie
39,Michel Roux,Les aventures d'Arsène Lupin: La Cagliostro se venge - Partie 2,3elOzp9X3B8vMGhJBWzbIF,0,0.675,0.625,2148727.0,0.453,0.0,G#,0.387,-15.384,Major,0.937,?,4-Apr,0.52,Movie
40,Randy Newman,Falling in Love,3v8vsQfMQio7ohYqFrEsaZ,24,0.485,0.691,181333.0,0.54,4.74e-06,G,0.187,-14.118,Major,0.0284,110.278,4-Apr,0.803,Movie
41,Generation B.O.,"(Everything I Do) I Do It for You (Theme From ""Robin Hood : Prince of Thieves"")",3k8oM9QwqlGluvl9prWiGs,17,0.22,0.395,257533.0,0.467,0.0,C#,0.126,-6.378,Major,0.026,131.894,4-Apr,0.0697,Movie
42,Randy Newman,Glory Train - Remastered Version,3PrpfZRnllDh7cksV1ohPi,10,0.416,0.49,207089.221185372,0.478,0.0,E,0.232,-10.089,Major,0.0403,?,4-Apr,0.462,Movie
43,Léovanie Raud,Voici Mary Poppins,1N5X0W11goDl1LCd9RNXHL,28,0.596,0.582,31533.0,0.445,0.0,G,0.215,-12.319,Major,0.455,?,4-Apr,0.849,Movie
44,Chorus,He Ganga Maiya Tori,4PxeWs25Scvv8Q1dc9yJHw,0,0.91,0.419,77467.0,0.152,0.0,D#,0.28,-9.661,Major,0.065,90.348,3-Apr,0.349,Movie
45,Alan Menken,"Bedtime - From ""The Little Mermaid""/Score",4r2kmQwKexj8F48KNIwTkN,37,0.951,0.243,82853.0,0.106,0.0633,G,0.361,-22.473,Major,0.0424,?,4-Apr,0.144,Movie
46,Anika Noni Rose,Duets: 'Night Mamma,016yvJ7v68kdkuiO1ye35Z,8,0.956,0.414,44760.0,0.0496,1.69e-06,G,0.122,-22.429,Major,0.0417,79.255,5-Apr,0.25,Movie
47,Justin Hurwitz,Herman’s Habit,0ibG3XCJ32Qq9maUY4AViR,29,0.0732,0.577,207089.221185372,0.548,0.896,G#,0.226,-10.487,Major,0.0601,?,4-Apr,0.585,Movie
48,Henri Salvador,Tu Me Fais Chaud Partout - Remastered,1X1FyZ9nfyvMPXZJtICf3c,5,0.412,0.376,207089.221185372,0.452,5.93e-05,C#,0.35,-6.893,Major,0.0401,129.79,4-Apr,0.32,Movie
49,Yves Prin,Tango-Fusion,6Usv1hssnVCG0p3c7G3pfQ,0,0.737,0.402,207089.221185372,0.351,0.00806,G,0.102,-19.64,Minor,0.0379,113.223,4-Apr,0.265,Movie
50,Chantal Goya,Bouba petit ourson,3s97DXWXBen4C5qEhKrido,4,0.629,0.636,136267.0,0.652,0.0,F#,0.244,-7.652,Major,0.0414,96.692,4-Apr,0.829,Movie
51,Chorus,Hey Jamalo Hey,0soMovktQxaEmdrSUFwecY,0,0.522,0.471,324520.0,0.329,1.69e-05,B,0.101,-12.137,Major,0.0482,169.888,3-Apr,0.862,Movie
52,Bruce Broughton,Celebration,1ppXZQzGV6uQEV5qjFioE7,0,0.941,0.475,253293.0,0.224,0.733,F,0.206,-22.771,Minor,0.04,121.692,4-Apr,0.226,Movie
53,Idina Menzel,Always Starting Over,36Ew5C2l5r1GAZifRhp4YG,38,0.794,0.318,282587.0,0.427,2.05e-06,G,0.147,-8.661,Major,0.0356,138.26,4-Apr,0.204,Movie
54,Howard Ashman,Be Our Guest (Demo) - Remastered 2018,3Eq2EC4a9DsuKndE5VctM6,8,0.747,0.546,208093.0,0.314,0.0,E,0.189,-15.2,Minor,0.0938,?,4-Apr,0.707,Movie
55,Disney Studio Chorus,Main Show: Great Moments with Mr. Lincoln,1eSt469YITAg1DAEgXxleU,24,0.962,0.392,550960.0,0.324,0.0,F,0.275,-13.871,Major,0.282,88.669,4-Apr,0.396,Movie
56,empty_field,Receive the Power (Sydney 2008),7t2bFihaDvhIrd2gn2CWJO,15,0.805,0.468,308680.0,0.388,7.83e-06,C,0.083,-8.024,Major,0.0247,77.003,3-Apr,0.187,Movie
57,Frank Churchill,Love's First Kiss(Finale),3i8TstjJck3vHAohHEfgCh,15,0.941,0.242,260747.0,0.247,0.0142,G#,0.307,-15.561,Major,0.0369,131.101,4-Apr,0.0949,Movie
58,Riders In The Sky,Sioux City Sue,2aCKBrLn7rbhStk5k4FwnF,2,0.73,0.514,159027.0,0.335,0.0,A#,0.068,-12.558,Major,0.19,194.712,4-Apr,0.834,Movie
59,Randy Newman,Seed To Tree - Score,0Xam0zVac3hKWWN4OQ5Gdr,21,0.94,0.289,61187.0,0.0138,0.617,D,0.401,-25.131,Major,0.04,116.455,4-Apr,0.0396,Movie
60,Randy Newman,Red Alert - Score,6TclVCUxDQm9s3Bey6Ao8H,13,0.819,0.47,109600.0,0.367,0.856,F#,0.124,-13.411,Minor,0.0395,78.874,4-Apr,0.297,Movie
61,The Mouseketeers,Mousekedance,0diRGCCiiJ9y2wg4jGgfyQ,14,0.754,0.794,93560.0,0.66,0.0,D#,0.143,-8.692,Major,0.0381,129.931,4-Apr,0.943,Movie
62,empty_field,How Can You Go?,0ll9N65h5uyzAJV6GFAfAV,10,0.794,0.56,94787.0,0.576,1.89e-05,D#,0.0493,-8.5,Minor,0.0871,93.388,4-Apr,0.58,Movie
63,Nathan Lane,"The Oldest Established (from ""Guys and Dolls"")",3bbjgZ8MqJ1nrP11d2JLeD,6,0.898,0.591,153907.0,0.364,0.0,G,0.351,-14.123,Major,0.156,140.86,4-Apr,0.723,Movie
64,Randy Newman,Scud,0YSZTYQzqPrnsudN5qP5GR,10,0.699,0.396,45093.0,0.423,0.684,A#,0.116,-9.125,Major,0.0398,134.886,4-Apr,0.0866,Movie
65,James Baskett,"Zip- A- Dee-Doo-Dah - From ""Song Of The South""",6Vcwr9tb3ZLO63F8DL8cqu,47,0.914,0.658,207089.221185372,0.216,0.0,G,0.348,-15.087,Major,0.129,?,4-Apr,0.724,Movie
66,Dorothée,Allô allô monsieur l'ordinateur,245NetT8cGFRzNEcSuagld,27,0.45,0.775,191680.0,0.922,0.0,D,0.327,-5.999,Major,0.0344,140.577,4-Apr,0.929,Movie
67,Fabien Nataf,Shine,0lp0bQqzyLmNNHHFYRaaJf,4,0.342,0.683,207089.221185372,0.485,0.00574,C,0.106,-14.509,Major,0.0322,109.965,4-Apr,0.778,Movie
68,Chantal Goya,Mademoiselle Marie-Rose (Au revoir) - Live,3rlgmiLyNsNeXhtAVwzo3N,5,0.821,0.406,102751.0,0.451,0.0,C,0.161,-10.125,Major,0.0455,89.168,4-Apr,0.37,Movie
69,empty_field,Winter Girl,2vBiHnQmeU4ObYe8wwTsav,0,0.298,0.581,209520.0,0.447,2.58e-05,G#,0.148,-7.806,Major,0.028,125.95,4-Apr,0.25,Movie
70,Dorothée,La complainte du petit cheval blanc,1h11CpDHhWudJaToXtzo0P,6,0.921,0.742,185267.0,0.205,0.000219,G,0.204,-14.553,Major,0.037,128.347,4-Apr,0.72,Movie
71,Debbie Davis,"It's Not the Years, It's the Miles",1dMabx7tqxUpeDYQAu8c7S,1,0.876,0.335,284973.0,0.148,0.000144,C,0.0877,-12.841,Major,0.0346,114.27,4-Apr,0.182,Movie
72,empty_field,Every Time We Say Goodbye / I'll Be Seeing You - Live,0GLUBbX4daHJkT3RQHEOia,15,0.878,0.331,359507.0,0.164,3.32e-06,A#,0.912,-15.802,Major,0.0545,92.144,3-Apr,0.108,Movie
73,Francis Lalanne,Genèse de l’album « À Léo » (Interview),2y8PnhXwnyHTxe72TtY58e,0,0.911,0.5,211053.0,0.489,0.0,D,0.662,-19.386,Major,0.943,78.138,3-Apr,0.577,Movie
74,Sally Dworsky,Save You,6YJvbzGH6guA82AYGA01PZ,4,0.35,0.412,287293.0,0.621,0.0,A#,0.118,-7.44,Minor,0.0479,139.777,4-Apr,0.505,Movie
75,Oliver Wallace,A Little Girl / Let The Game Begin / I Warn You Child,3dCUjsShE5IKRORn0KYVJO,22,0.946,0.297,87000.0,0.102,0.0947,C,0.202,-16.316,Major,0.0978,83.199,3-Apr,0.194,Movie
76,Debbie Davis,I'll Be Home for Christmas,6u8VTujpaFbvUVZiH48n3L,0,0.978,0.569,249560.0,0.154,0.00768,D,0.126,-11.898,Major,0.0293,92.87,4-Apr,0.231,Movie
77,Dorothée,Ma valise pour Nashville,3PIZKsovCCVX3XaxKSzkdY,1,0.648,0.79,215507.0,0.835,0.0,G#,0.223,-6.06,Major,0.0385,106.084,4-Apr,0.913,Movie
78,Donny Osmond,Moon River - Live,3X2899UzmQjl7gz0JsH42k,10,0.563,0.311,279347.0,0.257,1.6e-06,C,0.199,-14.318,Major,0.0364,109.459,4-Apr,0.237,Movie
79,empty_field,Acid Queen,0rrUkRwGVm752NSmJ94Udy,23,0.539,0.409,241027.0,0.584,0.000371,G,0.141,-10.512,Major,0.0392,127.719,4-Apr,0.291,Movie
80,Dorothée,"Valise, valise",79t11q9LYBP7USx4UxENCY,2,0.408,0.773,207089.221185372,0.778,0.0,E,0.0896,-11.725,Major,0.0325,?,4-Apr,0.969,Movie
81,George Bruns,The Will/Kitten Fun,5a2ZNbR29T3jEEjQkX99L5,10,0.933,0.477,55440.0,0.0525,0.000369,F,0.119,-22.745,Major,0.0571,98.792,4-Apr,0.485,Movie
82,Cerise Calixte,"Les cœurs sans logis - Extrait de ""Le bossu de Notre-Dame""",109IRvp8IFTgPDllZdyWJV,28,0.905,0.432,212093.0,0.155,4e-06,F,0.139,-12.774,Major,0.0309,101.946,3-Apr,0.118,Movie
83,empty_field,Sous les cèdres,6wa2EJYCY3HgpYZs9coahH,6,0.593,0.404,207089.221185372,0.525,0.0,A,0.8,-8.7,Minor,0.0628,133.624,4-Apr,0.241,Movie
84,Charlton Heston,"Chorus: Oh, Lord, What a Beautiful City",6H98N10OCmld8m5XyyulO3,0,0.995,0.448,43227.0,0.261,0.0,A#,0.355,-18.065,Minor,0.0379,78.644,4-Apr,0.405,Movie
85,Mandy Gonzalez,Breathe,1nPUyAopPGxIrV7qtRVjIy,24,0.806,0.426,226966.0,0.205,9.1e-06,A,0.113,-9.669,Major,0.0432,163.331,3-Apr,0.201,Movie
86,Leigh Harline,Winter Wonderland - Pinocchio: When You Wish Upon A Star - Jingle Bells (arr. M. Halling),0wJyFu6JHwUoKQN5X3uzVe,0,0.785,0.414,207089.221185372,0.431,0.0,G,0.249,-8.507,Minor,0.0313,98.87,4-Apr,0.308,Movie
87,Randy Newman,Back On My Feet Again - Remastered,5OmcnFH77xm4IETrbEvhlq,22,0.633,0.74,201600.0,0.568,8.04e-05,D,0.0745,-10.676,Major,0.0286,111.72,4-Apr,0.855,Movie
88,Alan Menken,Rodeo,5yYJNiQ3oapwwxu2A7Ch0A,26,0.935,0.385,39907.0,0.339,0.0355,D,0.287,-12.735,Major,0.0649,?,3-Apr,0.302,Movie
89,Mice Chorus,"Little Dressmakers / The Work Song / Scavenger Hunt /A Dream Is A Wish Your Heart Makes / The Dress / My Beads / Escape To The Garden - From ""Cinderella"" / Soundtrack Version",59evGiwVtj2BvrMmtVqaPC,29,0.934,0.369,564400.0,0.219,0.0103,D,0.104,-13.868,Major,0.0638,81.945,3-Apr,0.192,Movie
90,Randy Newman,Henry's Fired,2ZETegknlRBAM3LJi1UKpb,0,0.979,0.103,60733.0,0.0738,0.946,A#,0.0907,-23.317,Major,0.043,89.693,3-Apr,0.0368,Movie
91,empty_field,When the Mist Clears Away,1ndtFtce8tttyqn3uVRk6Q,2,0.594,0.522,225187.0,0.539,0.0,F,0.288,-7.761,Major,0.0262,93.144,4-Apr,0.472,Movie
92,Dorothée,Hou la menteuse ! - Live,0FyYR4Nnkbkk5BvECQRyXY,5,0.546,0.32,117387.0,0.984,0.0,A,0.314,-1.997,Major,0.148,169.195,4-Apr,0.59,Movie
93,Mike Douglas,The Very Thought Of You,5bAhKA268P40fz9GawggW9,0,0.864,0.309,219387.0,0.162,2.07e-05,F,0.0841,-16.989,Major,0.031,113.081,5-Apr,0.115,Movie
94,Cliff Edwards,Dream Sweetheart,7Kep2iSchrtXU68lIA20of,3,0.988,0.547,168048.0,0.195,0.000167,F#,0.274,-13.962,Major,0.0575,120.675,4-Apr,0.52,Movie
95,Donny Osmond,Could She Be Mine,5qJr2oHTes0qFkltrj9T48,15,0.131,0.575,199935.0,0.87,0.0,D,0.338,-5.008,Major,0.13,?,4-Apr,0.722,Movie
96,Chorus,Shubh Laabh Mantra,4kZRun5ZCHUTcxSJeDmYue,7,0.895,0.686,207089.221185372,0.359,0.0,F,0.101,-8.165,Major,0.0858,143.997,1-Apr,0.6,Movie
97,Randy Newman,End Titles - Avalon (Original Motion Picture Score),3OcSSRKbPgOaOHhAF1xbxr,5,0.893,0.129,439693.0,0.068,0.309,C,0.101,-19.835,Major,0.0415,201.242,4-Apr,0.0384,Movie
98,Damien Sargue,Un jour (extrait du spectacle « Les 3 Mousquetaires »),5iwz1NiezX7WWjnCgY5TH4,18,0.286,0.589,228000.0,0.571,0.0,A,0.0878,-7.134,Major,0.0516,74.989,4-Apr,0.424,Movie
99,Ken Page,Memory,7AOdyU64RafmvJUL4WMotN,0,0.821,0.326,248040.0,0.506,0.000284,C,0.0886,-9.235,Major,0.109,?,3-Apr,0.314,Movie
100,Frank Churchill,Pleasant Dreams,7amdrv0WoJDMKocFGNyozY,12,0.788,0.215,149093.0,0.153,0.976,D#,0.0917,-18.912,Major,0.0374,89.836,3-Apr,0.193,Movie
101,Fabien Nataf,So Cruel,5Yq38evNk28qlTVHHtwBhT,20,0.699,0.433,91251.0,0.357,0.0163,F,0.159,-7.89,Major,0.0471,112.736,4-Apr,0.206,Movie
102,Donny Osmond,Close Every Door - Live,3VpHhW058YNhFuaHbbjXA6,9,0.724,0.35,207089.221185372,0.272,0.0,C#,0.629,-16.165,Major,0.411,81.258,3-Apr,0.282,Movie
103,Scatman Crothers,Nobody Knows Why - Alternate Take 2,5zaIgI9HNUPIcfaeVRlxGa,20,0.284,0.589,161360.0,0.388,0.0,C,0.17,-13.043,Minor,0.0409,127.388,4-Apr,0.776,Movie
104,Olivier Constantin,Super Durand (Détective de choc) [Générique de l'émission télévisée],7sRjzAuT3qQ9xfooAqkn9N,6,0.318,0.52,195360.0,0.783,0.0,A#,0.329,-12.18,Major,0.0767,166.114,4-Apr,0.853,Movie
105,Leopold Stokowski,Symphony No.2 In D Op.73 : III. Allegretto Giocoso (Quasi Andantino),1bemsRXGIucdodYDoAZwHa,0,0.787,0.245,372867.0,0.208,0.486,C,0.308,-21.449,Major,0.0518,78.807,4-Apr,0.176,Movie
106,Idoles De La Musique,Les lacs du Connemara,3qh7eMvXXKWy7p9Nca3qoZ,1,0.814,0.347,102260.0,0.376,0.0,D#,0.338,-13.415,Major,0.0678,?,3-Apr,0.459,Movie
107,Nathan Lane,Timeless to Me,7CXCd6X0DwTGzr2ka7UfTI,14,0.741,0.738,241587.0,0.386,0.0,D,0.138,-8.199,Major,0.142,120.216,4-Apr,0.488,Movie
108,empty_field,Ain't We Got Fun,1lHtE5JDCas1EwXhQIMOIj,5,0.801,0.709,127437.0,0.376,0.0,C,0.291,-10.595,Major,0.0945,83.206,4-Apr,0.826,Movie
109,Idina Menzel,When We're Together,77FJtn1xuDsFtyDiMYjnMs,49,0.91,0.401,170521.0,0.317,0.0,B,0.114,-8.672,Major,0.0335,?,4-Apr,0.356,Movie
110,Idina Menzel,Wind Beneath My Wings - Live,28NeR4knhtlpUqc6IfbATy,19,0.599,0.254,207089.221185372,0.362,0.000562,B,0.921,-10.646,Major,0.0474,87.315,5-Apr,0.12,Movie
111,Chantal Goya,Au château Nougatine - Live,7d0R8oNJtqCqLHod83zhcx,12,0.777,0.524,124367.0,0.853,0.0,D,0.714,-9.477,Major,0.064,153.383,4-Apr,0.917,Movie
112,Chantal Goya,"Toi, mon ami le pélican",0pc964i59EXbSItfDHMneb,12,0.703,0.573,184053.0,0.712,0.0,A,0.146,-7.03,Major,0.0678,?,4-Apr,0.765,Movie
113,Henri Salvador,Le lion est mort ce soir,5AMvBCtX2rspUdoeJ9IsPN,35,0.744,0.35,165360.0,0.529,1.15e-05,C,0.135,-4.649,Major,0.0327,121.66,4-Apr,0.409,Movie
114,Voctave,Impossible Dream,5l5wRXA7asTNjh3V0oNGPs,36,0.96,0.193,226952.0,0.263,2.21e-05,G,0.106,-11.877,Major,0.0317,98.263,5-Apr,0.0993,Movie
115,Frank Churchill,En Dag Är Prinsen Här (Some day my Prince will come) (Snow White),4D8uIY6Wzj7dJDaw0dW0UF,0,0.98,0.272,159373.0,0.0661,0.00177,F,0.0856,-20.076,Major,0.0453,86.205,4-Apr,0.101,Movie
116,empty_field,Bouba le petit ourson (JSR Remix 2002),4rQfCllOKfgfsZdwvRUT8G,1,0.059,0.74,167547.0,0.789,7.1e-06,F,0.103,-6.608,Major,0.0468,116.021,4-Apr,0.789,Movie
117,Jean Claude Corbel,"Paris qui, Paris quoi",3yVeSHVkg0mS7StftocV0a,0,0.508,0.573,165213.0,0.685,0.0,C,0.106,-2.822,Major,0.0329,?,4-Apr,0.72,Movie
118,Daniel Lavoie,Quand je veux dormir,4Wvr1YaxNsCujq77dKujys,2,0.803,0.634,157547.0,0.244,0.0,C#,0.0827,-9.473,Major,0.0263,95.989,4-Apr,0.238,Movie
119,George Bruns,A Secret Revealed,0PZLNB8k4IiBhs1xn7gJqj,10,0.962,0.217,117733.0,0.0618,0.889,F,0.192,-25.72,Major,0.0383,106.474,4-Apr,0.074,Movie
120,Charles Kimbrough,No Life,2TpZlmChocrfeL5J6ed70t,20,0.953,0.564,83307.0,0.296,0.0,C,0.14,-12.726,Major,0.0578,?,3-Apr,0.159,Movie
121,Beth Fowler,"Beauty and the Beast - From ""Beauty and the Beast"" / Original Broadway Cast Recording",1cEMATnsBjcNfjY7nZsNaA,15,0.923,0.297,213533.0,0.0993,1.94e-05,A,0.109,-14.343,Major,0.0354,?,4-Apr,0.0996,Movie
122,Dorothée,La polka du roi,67AUQswwoIM2Opd0bhBEcc,1,0.436,0.704,147893.0,0.423,0.0,A#,0.109,-11.998,Major,0.0517,90.486,4-Apr,0.938,Movie
123,Paolo Domingo,Je vole (Reprise),7o403BASqR5hstLyroTRWu,23,0.967,0.238,60707.0,0.045,0.17,A#,0.265,-18.81,Major,0.0352,69.744,4-Apr,0.0881,Movie
124,Richard M. Sherman,Flitterin' - Instrumental,1JNkNeN5rJLjmuR4dkIGfS,27,0.87,0.501,207089.221185372,0.228,0.604,C,0.242,-13.019,Major,0.0376,?,4-Apr,0.485,Movie
125,Susan Egan,If I Only Had a Brain / Lion Tamer (Live),0IWVP99JRiNTP03t15Gk4z,6,0.748,0.468,396801.0,0.391,0.0,F,0.199,-12.367,Major,0.392,84.183,4-Apr,0.405,Movie
126,Martin & les fées,"Sous la peinture (par Paul Ventimila, Arielle Dombasle, Véronique Jannot, Michèle Laroque, Lorie Pester, Lisa Angell, Anggun, Sara Carreira & Julie Zenatti)",5IJWnvJJgH4PR4p9aXnNCQ,2,0.166,0.698,240440.0,0.202,0.0,D#,0.163,-14.052,Minor,0.777,113.703,3-Apr,0.505,Movie
127,Idoles De La Musique,Si tu n'as pas d'amour,3jWAHG4UMHXXFZr7zYlQ9y,0,0.00612,0.721,226010.0,0.724,3.54e-06,A,0.0541,-7.077,Major,0.0689,107.77,4-Apr,0.651,Movie
