popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre,time_signature_encoded,key_encoded,mode_encoded
49,0.036,0.562,383507,0.479,0.000126,0.0562,-7.233,0.0278,140.051,0.113,Alternative,1,10,0
47,0.00109,0.501,467627,0.859,0.0837,0.0646,-5.799,0.0464,89.03,0.223,Alternative,2,4,1
43,0.00651,0.576,207667,0.959,2.25e-05,0.324,-2.397,0.0855,95.047,0.573,Alternative,2,7,1
51,0.0007,0.264,257000,0.97,2.89e-05,0.131,-3.428,0.116,175.672,0.533,Alternative,2,3,1
51,0.00281,0.749,248253,0.656,8.44e-06,0.484,-6.727,0.0547,130.063,0.515,Alternative,2,4,0
45,0.000528,0.414,227213,0.959,0.0,0.252,-3.245,0.0868,166.006,0.586,Alternative,2,5,1
49,0.00358,0.765,460493,0.397,0.715,0.117,-10.538,0.0359,123.89,0.15,Alternative,2,0,0
57,0.67,0.547,213600,0.277,0.0,0.091,-11.327,0.0429,153.974,0.684,Alternative,2,3,0
44,2.2e-05,0.26,237560,0.985,0.00993,0.07,-3.741,0.146,119.944,0.299,Alternative,1,5,1
43,0.000113,0.441,325493,0.819,0.0633,0.275,-7.245,0.0444,128.676,0.154,Alternative,2,2,1
51,0.346,0.678,212840,0.393,0.0,0.0897,-11.062,0.0738,119.997,0.0975,Alternative,2,10,0
55,0.109,0.718,226533,0.703,0.822,0.208,-7.162,0.0382,87.975,0.858,Alternative,2,10,1
55,0.00321,0.622,198988,0.869,0.000633,0.13,-6.303,0.042,110.03,0.556,Alternative,2,0,0
44,1.17e-05,0.45,217507,0.937,0.714,0.102,-4.471,0.0786,91.011,0.27,Alternative,2,3,1
55,0.389,0.702,133375,0.186,0.625,0.0972,-13.187,0.0567,90.032,0.1,Alternative,2,2,0
42,0.095,0.774,193267,0.4,0.722,0.113,-11.863,0.0362,99.998,0.0632,Alternative,2,10,0
42,0.286,0.484,201000,0.868,1.02e-05,0.217,-2.619,0.0362,122.447,0.471,Alternative,2,10,1
56,0.0508,0.73,241480,0.573,0.0472,0.062,-7.009,0.0375,117.692,0.6,Alternative,2,4,0
46,0.000191,0.508,178213,0.951,0.0221,0.917,-4.372,0.0816,96.022,0.133,Alternative,2,4,0
48,0.0115,0.764,210920,0.696,0.000164,0.0883,-4.881,0.0678,117.968,0.91,Alternative,2,1,1
48,0.437,0.415,313640,0.527,0.0726,0.106,-8.8,0.0332,200.008,0.33,Alternative,2,3,0
47,0.176,0.47,229093,0.857,0.0,0.108,-5.776,0.0609,149.94,0.219,Alternative,2,9,1
46,0.471,0.521,153773,0.85,0.0,0.121,-3.607,0.281,92.062,0.378,Alternative,2,2,1
42,0.000104,0.377,225798,0.963,0.0,0.376,-3.369,0.0785,151.925,0.325,Alternative,2,4,1
61,0.12,0.667,218704,0.509,1.91e-06,0.269,-6.584,0.0348,104.993,0.289,Alternative,2,4,0
46,0.459,0.639,199038,0.684,0.000593,0.0815,-7.804,0.0272,110.006,0.288,Alternative,2,10,0
47,0.152,0.729,219214,0.496,0.0531,0.115,-10.196,0.0733,81.052,0.559,Alternative,2,3,0
53,0.72,0.632,200864,0.293,5.63e-06,0.326,-12.507,0.0284,103.869,0.586,Alternative,2,3,1
52,0.00139,0.516,162293,0.872,0.0,0.258,-5.102,0.0402,99.936,0.556,Alternative,2,11,0
54,0.00959,0.668,269973,0.504,5.91e-06,0.0992,-9.193,0.0382,119.99,0.154,Alternative,2,7,1
50,0.134,0.793,289600,0.668,0.000364,0.113,-8.364,0.323,86.931,0.628,Alternative,2,9,0
47,0.000573,0.325,242867,0.91,0.106,0.064,-4.878,0.169,132.094,0.142,Alternative,2,8,1
47,0.00466,0.431,204787,0.908,0.0,0.0693,-3.732,0.0388,172.164,0.317,Alternative,2,2,1
49,0.000502,0.351,238333,0.74,0.00144,0.107,-3.432,0.0318,102.124,0.218,Alternative,2,4,0
70,0.406,0.485,260947,0.738,8.77e-05,0.514,-8.884,0.101,114.713,0.484,Alternative,2,4,1
59,0.000292,0.568,232120,0.903,0.724,0.0764,-7.647,0.0982,122.604,0.762,Alternative,2,3,0
46,0.00058,0.479,210627,0.835,0.000101,0.0924,-5.988,0.1,191.615,0.694,Alternative,2,6,0
43,0.00964,0.408,227760,0.895,0.0,0.51,-6.027,0.196,171.695,0.531,Alternative,2,4,0
49,0.0943,0.514,197800,0.884,1.52e-06,0.0654,-3.765,0.151,158.262,0.898,Alternative,2,10,0
46,7.44e-05,0.424,253680,0.991,0.00647,0.223,-4.169,0.0673,93.122,0.295,Alternative,2,9,0
47,0.354,0.54,229880,0.588,2.64e-06,0.118,-7.719,0.0899,82.831,0.478,Alternative,2,5,1
49,0.0971,0.348,208827,0.442,5.31e-05,0.112,-7.676,0.0637,198.227,0.0674,Alternative,2,4,1
60,0.429,0.653,193309,0.414,5.13e-05,0.114,-9.079,0.243,143.828,0.261,Alternative,2,11,1
50,0.000919,0.535,177213,0.854,0.00149,0.0676,-6.519,0.0368,106.929,0.618,Alternative,2,4,0
53,0.222,0.687,195541,0.833,0.0,0.141,-6.828,0.0627,114.999,0.28,Alternative,2,7,1
48,0.0338,0.702,373309,0.723,0.00176,0.0923,-6.023,0.0393,110.016,0.846,Alternative,2,4,0
50,4.62e-06,0.513,209493,0.976,0.00034,0.117,-3.117,0.17,111.992,0.133,Alternative,2,2,0
47,0.602,0.466,222240,0.549,1.67e-05,0.213,-7.54,0.0344,79.437,0.547,Alternative,2,5,0
52,0.0217,0.728,242573,0.829,0.0,0.283,-4.098,0.0262,126.044,0.866,Alternative,2,9,0
71,0.0105,0.474,232800,0.672,0.0,0.142,-4.678,0.028,83.029,0.0649,Alternative,2,7,0
41,7.68e-05,0.496,274301,0.918,0.000124,0.121,-3.473,0.0573,116.039,0.338,Alternative,2,8,0
50,0.639,0.387,136343,0.706,0.00404,0.285,-8.74,0.128,115.956,0.588,Alternative,2,0,0
45,0.000884,0.424,245600,0.937,0.0,0.113,-5.354,0.0769,137.861,0.156,Alternative,2,4,0
50,0.104,0.641,305333,0.633,0.0,0.262,-7.295,0.0271,114.993,0.279,Alternative,2,9,0
44,0.0114,0.57,197507,0.883,1.53e-06,0.0553,-2.775,0.0582,158.082,0.487,Alternative,2,5,0
50,0.137,0.482,345693,0.751,0.0,0.162,-4.993,0.0467,148.048,0.521,Alternative,1,7,0
51,0.000117,0.334,287500,0.669,0.0149,0.109,-5.199,0.0452,99.906,0.118,Alternative,2,11,0
45,0.748,0.427,328147,0.0801,0.51,0.125,-27.119,0.0372,168.418,0.78,Alternative,1,5,0
50,0.215,0.591,209489,0.616,0.00223,0.0865,-7.2,0.0279,117.089,0.444,Alternative,1,10,0
60,0.0133,0.695,209627,0.814,0.0984,0.0601,-5.294,0.066,105.011,0.882,Alternative,2,4,0
56,0.227,0.764,158421,0.396,7.54e-05,0.12,-8.566,0.159,92.007,0.475,Alternative,2,11,0
58,0.101,0.863,111227,0.625,4.13e-06,0.166,-6.323,0.313,83.98,0.456,Alternative,2,11,0
49,0.123,0.546,218107,0.627,3.68e-06,0.0923,-5.091,0.0276,143.996,0.41,Alternative,2,9,1
45,0.0496,0.678,228158,0.58,0.0,0.066,-5.282,0.0319,106.033,0.658,Alternative,2,9,0
53,0.149,0.682,252840,0.766,3.38e-06,0.144,-5.546,0.0313,120.04,0.545,Alternative,2,9,0
43,0.00209,0.471,242600,0.846,0.0369,0.126,-3.632,0.0416,116.469,0.255,Alternative,2,4,0
51,0.000614,0.411,322613,0.768,0.00859,0.134,-4.21,0.0562,134.408,0.672,Alternative,2,6,0
68,0.134,0.702,210590,0.614,0.00391,0.173,-4.385,0.0786,155.173,0.047,Alternative,2,3,0
60,0.00326,0.541,197800,0.916,2.04e-06,0.0967,-5.964,0.0612,156.015,0.627,Alternative,2,10,1
54,0.705,0.316,277533,0.596,0.0,0.102,-5.806,0.0282,147.842,0.563,Alternative,2,10,1
55,0.0022,0.263,151733,0.89,0.00348,0.306,-2.913,0.177,190.389,0.286,Alternative,2,3,0
50,0.00133,0.445,162107,0.973,0.0,0.364,-4.334,0.117,157.986,0.491,Alternative,2,7,1
41,0.00204,0.515,266333,0.907,0.0,0.132,-6.951,0.0627,190.605,0.704,Alternative,2,9,0
54,0.217,0.671,235293,0.303,0.000217,0.109,-10.873,0.0659,72.025,0.306,Alternative,2,4,1
48,2.52e-05,0.335,140807,0.822,0.0,0.124,-6.754,0.0538,140.583,0.377,Alternative,2,0,0
54,0.0452,0.828,166172,0.761,0.0,0.205,-2.212,0.159,129.916,0.262,Alternative,2,4,0
52,0.326,0.376,342000,0.736,0.105,0.107,-9.438,0.0412,185.12,0.796,Alternative,1,7,1
50,0.00924,0.557,281707,0.897,0.000233,0.172,-4.031,0.0838,129.904,0.357,Alternative,2,9,1
40,0.0359,0.773,189360,0.513,0.0,0.347,-6.742,0.319,90.507,0.474,Alternative,2,4,0
60,0.0194,0.562,183400,0.967,1.1e-06,0.525,-3.467,0.0637,82.388,0.869,Alternative,2,9,0
43,0.37,0.526,192933,0.738,0.0,0.0842,-5.26,0.0358,144.565,0.898,Alternative,2,10,0
50,0.0004,0.527,227107,0.763,4.52e-06,0.108,-5.303,0.0325,113.406,0.26,Alternative,2,2,1
47,0.709,0.417,155342,0.443,0.0,0.217,-6.261,0.0328,119.903,0.47,Alternative,2,8,0
48,0.578,0.614,205240,0.299,0.0,0.103,-9.792,0.0279,124.846,0.397,Alternative,2,3,0
46,0.00218,0.382,267633,0.831,8.83e-05,0.164,-7.104,0.0518,170.053,0.613,Alternative,2,6,0
49,0.00169,0.505,191373,0.757,0.0,0.337,-5.443,0.0829,83.212,0.556,Alternative,2,3,0
48,0.039,0.142,265973,0.657,0.0,0.319,-5.767,0.0423,179.119,0.0377,Alternative,2,4,0
48,0.811,0.863,227013,0.7,0.327,0.176,-5.04,0.0408,122.945,0.923,Alternative,2,5,0
54,0.00035,0.361,247360,0.895,0.0,0.349,-3.94,0.06,177.959,0.459,Alternative,2,1,1
41,0.000361,0.243,287560,0.667,0.00666,0.075,-6.068,0.0498,52.131,0.165,Alternative,2,5,1
55,0.0783,0.413,215000,0.942,0.000412,0.689,-2.871,0.0453,123.085,0.759,Alternative,2,3,0
44,0.000342,0.591,232752,0.889,3.62e-05,0.117,-4.818,0.0412,144.983,0.807,Alternative,2,1,1
58,0.062,0.524,230587,0.805,0.0,0.209,-4.08,0.065,152.044,0.354,Alternative,2,7,1
63,0.42,0.667,314173,0.699,0.000442,0.201,-7.574,0.026,118.567,0.655,Alternative,2,10,0
49,8.41e-06,0.525,186907,0.973,0.00426,0.39,-4.087,0.0887,99.693,0.515,Alternative,1,9,0
63,0.743,0.715,254267,0.358,0.0133,0.104,-15.522,0.033,145.751,0.742,Alternative,2,8,0
45,0.0827,0.653,240387,0.632,2.96e-06,0.0669,-6.866,0.0993,128.02,0.323,Alternative,2,0,1
38,0.00696,0.58,252307,0.982,4.82e-06,0.165,-3.428,0.0729,98.189,0.51,Alternative,2,7,1
46,0.165,0.837,219130,0.623,1.01e-06,0.104,-10.113,0.105,115.047,0.442,Alternative,2,10,0
42,0.000336,0.512,191910,0.97,0.000699,0.347,-4.403,0.0561,92.051,0.358,Alternative,2,3,0
44,0.0149,0.383,221267,0.722,0.0,0.237,-3.534,0.0283,152.017,0.227,Alternative,2,5,0
47,0.397,0.29,399267,0.455,2.26e-06,0.065,-8.667,0.0309,143.436,0.204,Alternative,2,10,1
45,0.000923,0.331,181707,0.959,4.6e-06,0.292,-4.979,0.0703,133.69,0.318,Alternative,2,9,0
54,0.965,0.763,147304,0.494,0.00173,0.173,-6.857,0.0487,88.011,0.347,Alternative,2,2,1
57,7.5e-06,0.27,313520,0.886,0.0243,0.0899,-6.899,0.117,119.285,0.192,Alternative,2,2,0
71,0.0124,0.588,267600,0.72,0.017,0.27,-6.197,0.027,149.974,0.466,Alternative,2,0,1
46,0.00619,0.591,285547,0.638,4.69e-06,0.113,-6.958,0.029,131.113,0.348,Alternative,2,10,0
43,0.00268,0.619,285116,0.875,6.29e-06,0.16,-3.417,0.0455,127.94,0.371,Alternative,2,3,0
43,0.000151,0.602,193973,0.837,0.0,0.221,-5.963,0.0537,140.072,0.461,Alternative,2,9,1
44,0.304,0.797,218973,0.444,0.00126,0.107,-7.738,0.0411,95.035,0.138,Alternative,2,0,1
43,0.0121,0.535,253827,0.827,0.0611,0.117,-2.932,0.0989,123.952,0.649,Alternative,2,10,0
62,0.568,0.741,288532,0.397,0.0,0.153,-9.34,0.035,85.049,0.418,Alternative,2,9,1
49,0.213,0.856,188227,0.295,0.000269,0.115,-9.799,0.0472,124.988,0.229,Alternative,2,8,1
44,0.388,0.69,237107,0.858,6.27e-05,0.0855,-6.307,0.043,156.027,0.961,Alternative,1,5,1
51,0.183,0.481,218387,0.71,0.0,0.147,-4.785,0.0298,140.062,0.188,Alternative,2,10,0
44,0.0183,0.567,198326,0.896,0.0,0.18,-3.515,0.069,85.033,0.354,Alternative,2,0,0
48,0.0136,0.609,210773,0.491,1.93e-05,0.104,-10.386,0.0556,147.897,0.143,Alternative,2,2,1
44,0.188,0.505,265507,0.727,0.000826,0.0862,-5.391,0.058,85.899,0.254,Alternative,2,3,0
42,0.00971,0.617,240110,0.579,5.34e-06,0.153,-6.648,0.0288,95.962,0.359,Alternative,2,3,0
49,0.299,0.774,245080,0.623,0.0,0.385,-10.372,0.324,86.233,0.928,Alternative,2,4,0
47,0.056,0.685,257798,0.821,0.0109,0.261,-5.856,0.0341,120.031,0.718,Alternative,2,10,1
47,0.00106,0.324,464520,0.969,3.86e-05,0.247,-5.26,0.167,119.994,0.303,Alternative,2,2,1
55,8.65e-05,0.589,267000,0.696,3.43e-05,0.0779,-8.109,0.034,129.833,0.938,Alternative,2,11,0
47,0.00272,0.545,313573,0.919,0.00511,0.0977,-7.679,0.0484,104.366,0.387,Alternative,2,5,0
51,0.058,0.776,180467,0.9,0.0,0.256,-3.97,0.0382,127.051,0.963,Alternative,2,3,0
48,0.243,0.452,187133,0.67,5.08e-05,0.108,-8.392,0.0352,113.071,0.539,Alternative,2,0,1
41,0.00106,0.417,242160,0.74,0.0,0.648,-5.778,0.0367,152.899,0.244,Alternative,2,0,0
46,0.0527,0.436,220345,0.631,0.0686,0.14,-9.101,0.192,153.295,0.413,Alternative,3,9,1
49,0.000222,0.352,169787,0.906,0.0,0.181,-4.493,0.0779,192.118,0.78,Alternative,2,11,0
53,0.114,0.934,243587,0.649,1.71e-06,0.0807,-6.465,0.266,97.026,0.685,Alternative,2,10,0
47,0.23,0.622,196227,0.448,0.0,0.102,-10.709,0.0265,106.085,0.553,Alternative,2,3,0
49,0.000172,0.334,297693,0.986,0.00111,0.0932,-2.843,0.126,111.831,0.543,Alternative,3,4,1
54,0.00136,0.492,253933,0.646,2.21e-05,0.121,-5.334,0.0303,112.228,0.214,Alternative,2,1,1
44,0.00602,0.595,207120,0.905,0.0,0.238,-3.92,0.0571,160.126,0.475,Alternative,2,5,0
43,0.000454,0.473,316720,0.713,0.000155,0.12,-7.594,0.031,112.027,0.129,Alternative,2,4,0
46,0.000368,0.314,186240,0.957,0.0,0.12,-4.324,0.101,93.804,0.415,Alternative,2,11,0
64,0.000932,0.513,258920,0.877,0.000163,0.136,-3.756,0.0292,145.919,0.389,Alternative,2,11,0
44,7.09e-05,0.401,175053,0.98,1.65e-06,0.277,-3.818,0.0709,103.106,0.317,Alternative,2,4,1
61,0.0249,0.384,246267,0.733,2.61e-05,0.114,-6.522,0.0318,137.834,0.314,Alternative,2,10,0
61,0.047,0.534,203667,0.582,0.0328,0.0883,-7.912,0.0401,84.183,0.346,Alternative,2,8,0
63,0.315,0.429,293398,0.587,0.0,0.108,-4.588,0.0275,145.003,0.164,Alternative,1,0,0
54,0.424,0.669,269323,0.517,0.0,0.155,-5.97,0.0345,140.931,0.354,Alternative,2,2,1
59,0.458,0.561,206400,0.717,0.0,0.138,-5.719,0.0381,79.993,0.454,Alternative,2,11,0
46,0.033,0.476,169180,0.652,0.0,0.217,-5.247,0.101,182.597,0.357,Alternative,2,2,0
57,0.00798,0.562,185960,0.843,3.1e-05,0.112,-4.238,0.0363,91.979,0.262,Alternative,2,2,1
43,3.7e-05,0.456,211747,0.981,0.00939,0.096,-2.883,0.0864,163.933,0.448,Alternative,2,3,0
46,0.169,0.613,260960,0.571,0.0015,0.0938,-10.552,0.0267,108.276,0.481,Alternative,2,5,0
44,0.047,0.55,157053,0.875,0.875,0.109,-8.255,0.0419,102.97,0.521,Alternative,2,11,0
49,0.00201,0.394,208133,0.859,0.233,0.1,-3.851,0.0409,136.075,0.511,Alternative,3,0,0
49,0.175,0.475,355987,0.658,1.49e-06,0.719,-5.015,0.0281,90.882,0.402,Alternative,2,8,1
44,0.0595,0.416,185733,0.969,0.0,0.104,-2.361,0.0611,182.038,0.449,Alternative,2,5,0
46,0.792,0.583,195600,0.239,0.0,0.199,-13.85,0.0293,81.528,0.512,Alternative,1,5,0
50,0.0265,0.499,268400,0.637,0.228,0.226,-9.035,0.0401,125.198,0.103,Alternative,2,5,0
57,0.0133,0.359,338227,0.794,0.000132,0.111,-5.908,0.0338,97.188,0.423,Alternative,2,9,0
34,0.0768,0.604,203920,0.902,0.00104,0.451,-4.172,0.0296,140.106,0.808,Alternative,2,10,0
44,0.0124,0.572,182924,0.682,0.0047,0.219,-7.171,0.322,146.905,0.313,Alternative,2,4,1
43,0.0767,0.548,199387,0.716,1.66e-06,0.0873,-5.756,0.0706,110.085,0.356,Alternative,2,5,0
53,0.364,0.653,241589,0.34,0.00092,0.0993,-7.251,0.03,107.951,0.149,Alternative,2,5,0
48,0.0308,0.354,119587,0.897,2.13e-05,0.629,-2.262,0.249,77.871,0.771,Alternative,1,1,1
49,0.000105,0.503,205520,0.942,0.0,0.248,-5.025,0.094,106.039,0.4,Alternative,2,7,1
53,0.00215,0.707,227882,0.925,3.62e-06,0.0617,-3.067,0.0362,110.012,0.583,Alternative,2,4,0
32,0.00905,0.585,302587,0.93,0.486,0.978,-7.263,0.0421,148.015,0.834,Alternative,2,2,1
69,0.27,0.766,153857,0.402,0.0007,0.106,-11.155,0.107,125.107,0.466,Alternative,2,4,0
62,0.884,0.463,204249,0.282,0.000158,0.0983,-12.075,0.0424,106.952,0.244,Alternative,2,5,0
47,0.785,0.544,154187,0.34,3.89e-06,0.734,-13.947,0.0411,97.005,0.556,Alternative,2,5,0
47,0.00245,0.407,269787,0.75,4.27e-05,0.086,-7.278,0.0343,160.124,0.26,Alternative,2,5,0
58,0.0171,0.544,189800,0.935,0.00301,0.297,-4.159,0.173,103.026,0.339,Alternative,2,9,1
44,0.00122,0.604,203960,0.865,0.0209,0.515,-5.335,0.057,124.935,0.474,Alternative,2,8,1
61,0.347,0.411,253781,0.377,0.765,0.222,-9.553,0.0296,139.881,0.0321,Alternative,2,6,0
50,0.0877,0.444,207076,0.792,3.01e-06,0.14,-5.065,0.0345,171.823,0.488,Alternative,2,3,0
45,0.000168,0.553,213360,0.843,0.25,0.335,-4.664,0.0298,112.968,0.67,Alternative,2,2,1
41,0.0518,0.832,155055,0.766,5.12e-05,0.163,-6.629,0.0656,124.984,0.95,Alternative,2,9,0
55,0.00076,0.587,284613,0.704,1.17e-05,0.448,-6.589,0.0387,153.002,0.555,Alternative,2,4,1
55,0.0625,0.716,162480,0.74,0.0,0.156,-4.437,0.262,114.916,0.597,Alternative,2,0,1
50,0.00814,0.293,276100,0.82,0.248,0.135,-9.578,0.0387,96.676,0.787,Alternative,2,3,0
51,0.0224,0.647,233573,0.69,0.0,0.147,-8.657,0.0454,117.514,0.682,Alternative,2,9,1
50,0.000571,0.183,222627,0.984,1.84e-05,0.288,-2.654,0.186,182.41,0.36,Alternative,2,1,1
61,0.0134,0.405,592920,0.647,7.62e-05,0.819,-6.109,0.0482,131.952,0.196,Alternative,2,8,1
48,5.71e-05,0.305,204613,0.925,0.00336,0.108,-3.184,0.0981,149.727,0.313,Alternative,2,0,0
58,0.00028,0.509,297460,0.646,0.00468,0.0973,-6.285,0.0365,124.014,0.142,Alternative,2,2,1
50,0.000269,0.209,230323,0.962,6.97e-05,0.15,-4.435,0.0482,184.267,0.351,Alternative,2,4,0
53,0.0815,0.702,165093,0.567,2.75e-05,0.0864,-8.561,0.239,84.153,0.667,Alternative,2,10,0
65,0.304,0.586,236333,0.855,0.0,0.129,-5.947,0.0327,124.917,0.448,Alternative,2,2,1
43,0.00526,0.344,233267,0.69,0.0,0.0939,-5.465,0.0375,166.013,0.256,Alternative,2,9,0
44,0.53,0.604,248413,0.631,2.73e-05,0.123,-10.06,0.0892,85.082,0.494,Alternative,2,2,1
59,0.0468,0.519,215173,0.825,0.0,0.0604,-3.087,0.145,154.777,0.581,Alternative,2,10,0
46,0.000126,0.315,226258,0.946,0.0,0.342,-2.679,0.067,154.969,0.426,Alternative,2,9,1
42,1.49e-05,0.459,221500,0.673,0.00174,0.0505,-8.846,0.028,101.159,0.549,Alternative,2,4,0
48,0.17,0.627,173640,0.478,6.92e-05,0.301,-7.141,0.038,129.962,0.378,Alternative,1,7,1
47,0.356,0.537,221423,0.691,0.0,0.212,-5.304,0.195,106.63,0.473,Alternative,2,7,1
60,0.00563,0.411,363853,0.893,0.00967,0.149,-3.646,0.139,170.407,0.513,Alternative,2,10,0
47,0.948,0.522,239960,0.296,0.619,0.105,-10.46,0.0302,67.012,0.399,Alternative,2,10,0
41,2.61e-05,0.411,255160,0.986,0.025,0.128,-4.705,0.313,159.963,0.275,Alternative,2,9,1
61,0.00172,0.551,265840,0.939,0.000239,0.109,-5.371,0.171,90.592,0.367,Alternative,2,2,0
50,0.0712,0.671,247507,0.763,0.000655,0.171,-6.078,0.0434,120.013,0.304,Alternative,2,5,0
52,9.42e-06,0.515,189760,0.91,0.117,0.326,-6.479,0.0381,101.177,0.402,Alternative,1,5,0
42,0.00152,0.423,246093,0.875,1.2e-06,0.0879,-5.079,0.0361,80.004,0.498,Alternative,2,1,0
41,0.0167,0.397,167893,0.606,0.0,0.123,-5.312,0.0303,160.018,0.237,Alternative,1,10,0
42,0.00761,0.507,259209,0.662,0.0,0.259,-6.986,0.0492,134.88,0.236,Alternative,2,7,0
60,0.339,0.506,186960,0.554,0.000355,0.112,-6.743,0.0339,124.724,0.375,Alternative,2,1,1
46,0.537,0.338,314753,0.456,0.331,0.0925,-10.008,0.027,171.819,0.347,Alternative,2,3,0
54,0.431,0.619,255773,0.632,8.61e-06,0.0897,-7.692,0.0274,114.966,0.264,Alternative,2,11,0
47,3.08e-05,0.435,243933,0.983,0.0875,0.0576,-4.937,0.147,129.905,0.262,Alternative,2,11,0
55,0.000272,0.495,311027,0.798,0.000922,0.234,-9.173,0.0387,132.007,0.461,Alternative,2,10,0
45,0.333,0.504,155773,0.758,0.0,0.132,-7.974,0.148,90.466,0.758,Alternative,2,10,1
62,0.00915,0.502,213693,0.758,0.783,0.284,-9.76,0.0407,112.508,0.729,Alternative,2,6,0
40,0.275,0.59,192453,0.529,0.0,0.117,-7.759,0.0415,76.92,0.424,Alternative,2,8,0
50,0.00832,0.756,264030,0.776,0.00128,0.15,-5.873,0.0746,122.982,0.807,Alternative,2,7,0
42,0.00229,0.507,231973,0.873,0.0,0.0722,-5.934,0.0418,100.004,0.527,Alternative,2,3,0
55,0.0199,0.434,232813,0.868,0.0,0.162,-3.503,0.0366,162.969,0.366,Alternative,3,0,0
43,8.44e-05,0.429,192200,0.688,0.0,0.102,-5.563,0.0309,174.019,0.37,Alternative,2,0,0
58,0.387,0.522,243320,0.531,0.0,0.202,-7.78,0.0293,79.252,0.761,Alternative,2,10,0
45,0.00373,0.645,205208,0.88,0.00669,0.0787,-5.144,0.0495,124.046,0.594,Alternative,2,1,1
40,0.454,0.419,244840,0.814,0.00177,0.527,-5.738,0.402,132.638,0.345,Alternative,2,3,0
56,0.043,0.795,192010,0.629,0.000154,0.378,-8.704,0.0745,100.803,0.0667,Alternative,2,8,1
64,0.474,0.776,167493,0.5,0.000931,0.169,-7.451,0.0579,100.055,0.544,Alternative,2,8,1
